app,workload,vus,run,throughput,avg,p95,p99,error_rate
webflux,cpu,30,1,33.726910766776065,781.0419905099477,1180.7227404999999,1301.32677984,0
mvc,io,500,3,980.4025269855415,467.5410887599997,659.9876182,814.11776956,0
mvc,io,400,3,979.0205264076841,374.5151360771633,557.6065249,711.45872966,0
mvc,io,250,1,958.7950471549145,228.11105581203736,559.3079044499999,716.3587876199999,0
webflux,io,250,2,958.9741117969696,228.05515833338572,255.71431249999998,260.31100184,0
webflux,cpu,40,3,33.7680158247427,1039.6041972246499,1420.42984175,1539.47758395,0
webflux,io,100,3,924.4788874497311,94.57055991387946,102.11457234999999,105.03549258000001,0
webflux,cpu,10,3,33.44715761940038,263.34744401407494,361.12940499999996,475.3005876000001,0
webflux,cpu,20,2,33.64954888425255,522.1101799279444,729.3820335999995,830.83946972,0
webflux,io,250,3,960.6169364111469,227.6859336327535,255.097701,258.9683984,0
webflux,cpu,75,1,33.80543182579676,1947.9981954790492,2602.4581273,2723.94647077,0
mvc,io,200,1,953.2314154921582,183.52461774834148,461.2440491999996,657.90746095,0
mvc,io,600,3,982.3292108628608,559.980006073895,760.2556613,914.87602545,0
webflux,cpu,75,3,33.827145064580534,1947.26146896021,2598.1874927,2727.23377286,0
webflux,io,500,3,979.067603572808,468.1909160441555,509.73983519999996,514.4356154799999,0
mvc,cpu,75,1,40.90343409963113,1609.2272369569187,2473.2499758,2749.6634595,0
webflux,io,600,1,978.0756284642578,562.4785613220213,613.155116,621.18524764,0
mvc,io,250,3,964.4986818695647,226.77682270791104,405.57288215,558.79368786,0
mvc,cpu,75,2,40.96989370196579,1607.0666055665624,2458.9298974000003,2729.56652964,0
mvc,cpu,50,2,41.14427224191614,1066.2719746568464,1600.111669,1754.6822630000001,0
mvc,cpu,100,3,41.19257953405047,2132.6217499211134,3335.088480199999,3717.002696739999,0
mvc,io,150,2,942.7785803437079,139.133244883629,344.1519449999991,454.82821648,0
webflux,cpu,50,3,33.76625767057025,1299.9260331794005,1774.1525288,1785.3361793600002,0
